Submission_Type,Academic_Level,Primary_Language,Word_Count,Average_Sentence_Length,Grammar_Errors,Vocabulary_Richness,Passive_Voice_Ratio,Reading_Level,Editing_Time,Revision_Count,Typing_Speed,Plagiarism_Score,Citation_Count,Punctuation_Density,Sentence_Complexity,Font_Family,Submission_Hour,Errors_per_Word,Revisions_per_Word,Citations_per_Word,Is_AI_Assisted
Lab_Report,Postgraduate,Native,1270,16.04,11,0.67,0.18,10.59,207.25,,,6.45,2.0,0.04,2.19,Arial,20,0.008661417322834646,,0.0015748031496062992,0
Lab_Report,Undergraduate,Native,889,18.62,8,0.47,0.15,11.08,240.66,26.0,60.22,1.39,4.0,0.07,1.94,Helvetica,12,0.008998875140607425,0.02924634420697413,0.0044994375703037125,0
Research_Paper,Undergraduate,Native,1693,18.67,8,0.61,0.14,15.03,127.66,23.0,40.62,7.32,20.0,0.05,2.44,Arial,12,0.004725339633786178,0.013585351447135264,0.011813349084465446,0
Lab_Report,Undergraduate,Native,1354,11.87,8,0.63,0.18,10.17,236.92,31.0,,3.56,0.0,0.04,1.06,Arial,2,0.005908419497784343,0.022895125553914326,0.0,0
Research_Paper,Undergraduate,Native,833,20.62,8,0.62,0.22,6.45,174.15,23.0,36.42,11.5,,0.06,1.64,Arial,18,0.009603841536614645,0.027611044417767107,,0
Essay,Undergraduate,Native,1733,15.08,5,0.58,0.44,9.2,172.52,29.0,46.89,7.21,4.0,0.08,1.54,Times New Roman,11,0.0028851702250432777,0.01673398730525101,0.002308136180034622,0
Research_Paper,Undergraduate,Non_Native,1537,16.38,11,0.61,0.28,10.99,,30.0,36.55,8.57,19.0,0.05,1.0,Helvetica,20,0.0071567989590110605,0.01951854261548471,0.01236174365647365,0
Research_Paper,High_School,Native,1121,13.33,3,0.7,0.32,10.59,164.36,,27.81,7.49,15.0,0.08,1.62,Times New Roman,16,0.0026761819803746653,,0.013380909901873328,0
Lab_Report,Postgraduate,Native,1044,18.92,11,0.48,0.29,7.7,,27.0,29.62,1.06,6.0,0.05,1.89,Times New Roman,10,0.01053639846743295,0.02586206896551724,0.005747126436781609,0
Essay,Undergraduate,Native,807,20.61,1,0.74,0.33,14.08,24.85,3.0,1200.0,2.26,4.0,0.07,2.85,Times New Roman,9,0.0012391573729863693,0.0037174721189591076,0.004956629491945477,1
Essay,Undergraduate,Non_Native,739,23.12,1,0.76,0.39,12.96,20.87,4.0,1200.0,17.3,1.0,0.07,2.15,Helvetica,13,0.0013531799729364006,0.005412719891745603,0.0013531799729364006,1
Essay,High_School,Native,1140,11.86,9,0.61,0.25,11.69,159.88,,42.45,7.99,2.0,0.04,1.56,Helvetica,22,0.007894736842105263,,0.0017543859649122807,0
Lab_Report,Undergraduate,Native,1319,14.92,18,0.49,0.21,9.19,216.91,31.0,34.6,6.77,,0.08,3.08,Times New Roman,5,0.013646702047005308,0.02350265352539803,,0
Research_Paper,High_School,Native,1825,24.87,12,0.48,0.2,11.61,,33.0,34.78,0.67,16.0,0.07,1.46,Calibri,0,0.006575342465753425,0.01808219178082192,0.008767123287671232,0
Literature_Review,Undergraduate,Native,1573,16.1,5,0.63,0.19,14.3,214.49,24.0,33.46,3.77,33.0,0.08,2.41,Times New Roman,4,0.003178639542275906,0.015257469802924348,0.02097902097902098,0
Research_Paper,Undergraduate,Non_Native,1185,9.46,4,0.4,0.15,12.84,319.2,30.0,55.75,3.29,15.0,0.07,1.59,Helvetica,3,0.0033755274261603376,0.02531645569620253,0.012658227848101266,0
Essay,Undergraduate,Native,667,12.2,8,0.4,0.17,6.73,182.48,,44.56,,7.0,0.07,1.27,Arial,1,0.01199400299850075,,0.010494752623688156,0
Essay,Undergraduate,Native,1521,16.19,6,0.6,0.3,12.29,208.78,28.0,80.65,11.66,4.0,0.05,2.18,Arial,21,0.0039447731755424065,0.018408941485864562,0.0026298487836949377,0
Research_Paper,Undergraduate,Native,300,26.36,4,0.79,0.3,13.8,57.11,1.0,1200.0,3.5,3.0,0.07,2.79,Arial,3,0.013333333333333334,0.0033333333333333335,0.01,1
Essay,Undergraduate,Native,1372,13.75,13,0.74,0.33,9.65,108.97,,34.12,15.93,,0.05,2.17,Calibri,15,0.009475218658892129,,,0
Essay,Postgraduate,Native,1190,15.62,9,0.69,0.26,12.07,244.62,,17.12,5.94,2.0,0.03,2.06,Arial,14,0.007563025210084034,,0.0016806722689075631,0
Lab_Report,Undergraduate,Native,581,21.18,3,0.73,0.3,13.29,11.8,1.0,0.0,0.51,3.0,0.08,2.52,Calibri,23,0.0051635111876075735,0.0017211703958691911,0.0051635111876075735,1
Essay,Undergraduate,Native,856,10.71,8,0.7,0.15,11.1,223.99,27.0,60.65,0.78,,0.02,1.76,Times New Roman,20,0.009345794392523364,0.03154205607476635,,0
Lab_Report,Undergraduate,Native,972,9.24,5,0.42,0.08,7.95,1.0,30.0,77.81,2.76,3.0,0.03,3.3,Calibri,13,0.0051440329218107,0.030864197530864196,0.0030864197530864196,0
Research_Paper,Undergraduate,Non_Native,638,16.59,5,0.6,0.13,13.75,,20.0,45.62,4.03,18.0,0.05,1.83,Calibri,21,0.007836990595611285,0.03134796238244514,0.02821316614420063,0
Research_Paper,Undergraduate,Non_Native,1391,11.54,10,0.63,0.23,12.02,206.06,24.0,48.09,13.52,20.0,0.09,1.0,Arial,13,0.007189072609633357,0.017253774263120056,0.014378145219266714,0
Essay,Postgraduate,Non_Native,1503,14.21,6,0.69,0.18,10.19,149.01,25.0,48.73,2.52,,0.03,2.25,Helvetica,4,0.003992015968063872,0.0166333998669328,,0
Essay,Undergraduate,Native,1798,12.68,17,0.47,0.08,9.05,283.29,26.0,27.9,12.45,6.0,0.07,1.55,Arial,5,0.009454949944382647,0.014460511679644048,0.0033370411568409346,0
Lab_Report,High_School,Non_Native,967,20.36,0,0.76,0.41,12.38,3.3,3.0,,0.2,0.0,0.08,2.22,Calibri,23,0.0,0.0031023784901758012,0.0,1
Research_Paper,Undergraduate,Native,1619,16.73,5,0.62,0.25,10.88,68.45,32.0,42.82,9.72,17.0,0.05,2.19,Arial,17,0.0030883261272390363,0.019765287214329835,0.010500308832612723,0
Essay,Postgraduate,Non_Native,1788,10.45,4,0.62,0.06,9.07,106.23,27.0,,17.03,2.0,0.04,1.57,Arial,9,0.0022371364653243847,0.015100671140939598,0.0011185682326621924,0
Research_Paper,High_School,Native,1253,22.21,1,0.78,0.44,14.19,16.5,0.0,,0.08,5.0,0.1,2.39,Arial,11,0.0007980845969672786,0.0,0.0039904229848363925,1
Essay,High_School,Non_Native,568,23.36,1,0.73,0.39,14.12,26.13,0.0,,,1.0,0.07,2.3,Arial,2,0.0017605633802816902,0.0,0.0017605633802816902,1
Research_Paper,Undergraduate,Native,838,21.32,12,0.63,0.11,10.49,309.82,27.0,37.11,21.8,13.0,0.05,2.58,Calibri,16,0.014319809069212411,0.032219570405727926,0.015513126491646777,0
Research_Paper,Undergraduate,Native,1171,17.63,15,0.61,0.36,6.86,127.23,23.0,56.44,0.97,15.0,0.07,2.14,Times New Roman,14,0.012809564474807857,0.01964133219470538,0.012809564474807857,0
Essay,Undergraduate,Native,1439,15.13,9,0.63,0.2,10.5,124.21,,46.97,13.29,5.0,0.06,1.92,Helvetica,11,0.006254343293954135,,0.0034746351633078527,0
Lab_Report,High_School,Native,2231,15.95,6,0.51,0.09,5.0,105.86,27.0,51.33,,1.0,0.05,1.77,Calibri,17,0.002689376961004034,0.012102196324518153,0.00044822949350067237,0
Research_Paper,Postgraduate,Native,463,21.93,5,0.49,0.22,12.24,183.73,20.0,30.7,3.42,16.0,0.0,1.0,Times New Roman,21,0.01079913606911447,0.04319654427645788,0.03455723542116631,0
Lab_Report,Undergraduate,Native,1800,13.88,12,0.75,0.2,6.43,83.58,19.0,38.16,11.12,3.0,0.06,1.27,Times New Roman,11,0.006666666666666667,0.010555555555555556,0.0016666666666666668,0
Essay,Postgraduate,Native,956,13.9,11,0.5,0.26,13.16,132.14,,51.99,5.9,9.0,0.08,1.0,Times New Roman,17,0.011506276150627616,,0.009414225941422594,0
Lab_Report,Undergraduate,Native,989,12.57,4,0.63,0.24,11.24,283.45,25.0,59.28,,7.0,0.06,2.83,Times New Roman,7,0.004044489383215369,0.025278058645096056,0.007077856420626896,0
Research_Paper,Undergraduate,Non_Native,1205,18.12,7,0.56,0.1,13.19,260.16,30.0,54.95,9.19,18.0,0.05,1.0,Helvetica,1,0.005809128630705394,0.024896265560165973,0.014937759336099586,0
Research_Paper,Undergraduate,Native,937,5.87,7,0.64,0.2,9.11,240.89,26.0,54.0,7.25,16.0,0.05,1.0,Arial,23,0.007470651013874066,0.02774813233724653,0.017075773745997867,0
Lab_Report,Undergraduate,Native,1255,14.75,8,0.52,0.19,10.95,186.73,29.0,53.27,,2.0,0.06,2.09,Helvetica,7,0.006374501992031873,0.023107569721115537,0.0015936254980079682,0
Literature_Review,Undergraduate,Non_Native,929,25.3,9,0.54,0.2,6.94,107.83,21.0,38.26,1.56,28.0,0.04,1.3,Times New Roman,9,0.00968783638320775,0.022604951560818085,0.030139935414424113,0
Essay,Postgraduate,Native,1153,24.26,1,0.81,0.37,15.75,,3.0,0.0,0.54,2.0,0.09,2.41,Helvetica,22,0.0008673026886383347,0.0026019080659150044,0.0017346053772766695,1
Research_Paper,Undergraduate,Native,377,20.09,63,0.61,0.22,12.06,1375.74,23.0,49.47,25.52,20.0,0.04,2.32,Arial,1,0.16710875331564987,0.0610079575596817,0.05305039787798409,0
Lab_Report,Undergraduate,Native,748,14.24,7,0.65,0.19,9.0,220.01,31.0,56.38,1.53,0.0,0.05,3.2,Times New Roman,1,0.009358288770053475,0.04144385026737968,0.0,0
Lab_Report,Undergraduate,Native,1628,22.58,1,0.76,0.35,12.02,17.93,3.0,,1.09,2.0,0.08,2.46,Helvetica,18,0.0006142506142506142,0.0018427518427518428,0.0012285012285012285,1
Literature_Review,Postgraduate,Non_Native,1715,21.22,4,0.71,0.37,13.73,30.56,,0.0,2.14,,0.08,2.42,Helvetica,8,0.0023323615160349854,,,1
Research_Paper,Undergraduate,Native,1033,15.78,13,0.6,0.15,8.83,53.44,27.0,52.87,29.08,19.0,0.04,2.03,Calibri,1,0.012584704743465635,0.026137463697967087,0.018393030009680542,0
Research_Paper,Undergraduate,Native,1480,7.41,11,0.73,0.27,8.76,221.67,23.0,57.65,1.81,19.0,0.03,2.45,Times New Roman,21,0.007432432432432433,0.015540540540540541,0.012837837837837839,0
Research_Paper,Undergraduate,Native,1888,14.79,11,0.53,0.17,10.01,290.25,,27.68,32.33,16.0,0.04,1.0,Times New Roman,9,0.005826271186440678,,0.00847457627118644,0
Research_Paper,Undergraduate,Native,1783,25.09,7,0.47,0.25,9.39,,28.0,35.31,0.33,19.0,0.06,2.75,Arial,21,0.003925967470555244,0.015703869882220976,0.01065619742007852,0
Essay,Postgraduate,Native,729,17.51,7,0.55,0.2,8.62,187.2,19.0,39.34,3.73,,0.05,1.0,Arial,1,0.009602194787379973,0.02606310013717421,,0
Essay,Undergraduate,Native,1496,24.9,11,0.58,0.16,10.96,178.44,,8.72,,2.0,0.03,1.66,Times New Roman,10,0.007352941176470588,,0.001336898395721925,0
Research_Paper,Undergraduate,Native,869,22.08,3,0.69,0.38,13.97,19.56,3.0,0.0,3.92,6.0,0.08,2.65,Arial,5,0.0034522439585730723,0.0034522439585730723,0.006904487917146145,1
Research_Paper,Undergraduate,Native,1207,20.37,3,0.76,0.32,14.19,3.85,4.0,0.0,,4.0,0.08,2.24,Helvetica,19,0.0024855012427506215,0.0033140016570008283,0.0033140016570008283,1
Essay,Undergraduate,Native,1908,15.8,10,0.71,0.34,13.52,218.35,,38.79,17.2,2.0,0.03,3.14,Calibri,15,0.005241090146750524,,0.0010482180293501049,0
Essay,Undergraduate,Non_Native,885,12.68,15,0.7,0.14,13.96,159.83,9.0,51.39,21.5,1.0,0.02,2.19,Times New Roman,8,0.01694915254237288,0.010169491525423728,0.0011299435028248588,0
Literature_Review,Undergraduate,Native,1595,19.65,8,0.6,0.16,8.96,224.28,24.0,41.78,4.82,28.0,0.04,1.0,Times New Roman,10,0.005015673981191223,0.015047021943573668,0.01755485893416928,0
Research_Paper,High_School,Native,488,19.45,9,0.54,0.26,6.75,293.48,23.0,57.0,6.87,20.0,0.05,1.0,Times New Roman,14,0.018442622950819672,0.0471311475409836,0.040983606557377046,0
Essay,Undergraduate,Native,1227,11.22,6,0.72,0.13,10.06,239.18,26.0,51.07,14.08,4.0,0.04,2.02,Arial,9,0.004889975550122249,0.021189894050529748,0.0032599837000814994,0
Essay,High_School,Native,1648,21.25,4,0.48,0.18,14.93,,24.0,84.31,21.7,,0.03,2.18,Arial,1,0.0024271844660194173,0.014563106796116505,,0
Research_Paper,High_School,Non_Native,815,16.87,8,0.62,0.23,10.86,230.3,31.0,47.78,0.62,17.0,0.07,1.0,Times New Roman,0,0.0098159509202454,0.03803680981595092,0.020858895705521473,0
Literature_Review,Undergraduate,Native,1438,15.62,9,0.71,0.12,7.28,177.54,19.0,48.76,14.38,32.0,0.03,1.52,Arial,20,0.006258692628650904,0.01321279554937413,0.022253129346314324,0
Essay,Undergraduate,Non_Native,946,15.07,9,0.52,0.1,10.87,153.89,35.0,32.93,5.06,1.0,0.03,1.21,Calibri,6,0.009513742071881607,0.03699788583509514,0.0010570824524312897,0
Lab_Report,Undergraduate,Native,1094,12.9,5,0.67,0.17,13.78,82.09,28.0,32.21,12.21,0.0,0.08,1.75,Helvetica,17,0.004570383912248629,0.025594149908592323,0.0,0
Essay,Undergraduate,Native,799,15.37,9,0.74,0.01,14.09,,23.0,52.15,5.52,5.0,0.05,2.05,Calibri,15,0.011264080100125156,0.028785982478097622,0.006257822277847309,0
Lab_Report,Undergraduate,Native,300,21.57,10,0.67,0.24,11.96,,25.0,38.34,13.9,3.0,0.08,1.18,Helvetica,13,0.03333333333333333,0.08333333333333333,0.01,0
Research_Paper,Undergraduate,Non_Native,1313,5.0,4,0.64,0.23,9.66,137.34,,61.18,0.29,16.0,0.08,1.82,Calibri,2,0.0030464584920030465,,0.012185833968012186,0
Essay,Undergraduate,Native,1194,19.57,7,0.69,0.19,9.83,241.8,28.0,23.93,12.34,3.0,0.11,1.52,Arial,22,0.005862646566164154,0.023450586264656615,0.002512562814070352,0
Research_Paper,High_School,Non_Native,1379,17.23,12,0.5,0.22,13.37,199.76,26.0,45.7,2.88,15.0,0.06,1.88,Calibri,22,0.00870195794053662,0.01885424220449601,0.010877447425670777,0
Literature_Review,Undergraduate,Non_Native,1774,24.9,9,0.64,0.18,10.98,359.42,29.0,,0.1,27.0,0.04,2.76,Calibri,12,0.005073280721533258,0.016347237880496055,0.015219842164599774,0
Essay,Postgraduate,Native,1215,24.34,8,0.69,0.17,10.09,106.13,31.0,40.02,4.07,4.0,0.06,3.26,Helvetica,16,0.006584362139917695,0.02551440329218107,0.0032921810699588477,0
Lab_Report,Undergraduate,Native,1243,20.48,9,0.7,0.14,9.89,217.15,23.0,44.2,2.38,2.0,0.06,1.58,Times New Roman,14,0.007240547063555913,0.01850362027353178,0.0016090104585679806,0
Essay,Undergraduate,Native,1036,13.23,6,0.66,0.19,9.23,183.45,34.0,69.22,3.84,5.0,0.07,1.28,Times New Roman,1,0.005791505791505791,0.032818532818532815,0.004826254826254826,0
Essay,Postgraduate,Native,1676,21.35,1,0.7,0.36,13.81,28.64,2.0,0.0,0.55,0.0,0.05,2.22,Times New Roman,16,0.0005966587112171838,0.0011933174224343676,0.0,1
Essay,Postgraduate,Native,1454,20.26,10,0.56,0.09,8.77,150.56,,59.84,13.1,6.0,0.03,2.51,Times New Roman,11,0.0068775790921595595,,0.0041265474552957355,0
Literature_Review,High_School,Native,1446,14.97,6,0.7,0.1,12.76,274.51,25.0,37.38,5.44,26.0,0.08,1.0,Helvetica,7,0.004149377593360996,0.017289073305670817,0.017980636237897647,0
Lab_Report,Postgraduate,Non_Native,1218,21.06,11,0.71,0.28,9.75,133.3,18.0,44.32,9.32,5.0,0.02,3.24,Arial,16,0.0090311986863711,0.014778325123152709,0.004105090311986864,0
Research_Paper,High_School,Native,1144,18.64,6,0.6,0.15,13.96,205.13,30.0,55.66,4.22,13.0,0.09,1.99,Helvetica,0,0.005244755244755245,0.026223776223776224,0.011363636363636364,0
Research_Paper,High_School,Native,1295,15.19,11,0.5,0.26,8.33,118.77,18.0,35.69,1.9,17.0,0.07,1.0,Calibri,2,0.008494208494208495,0.013899613899613899,0.013127413127413128,0
Essay,High_School,Native,300,21.75,3,0.68,0.33,12.55,1.77,1.0,0.0,,1.0,0.08,2.64,Calibri,15,0.01,0.0033333333333333335,0.0033333333333333335,1
Essay,Undergraduate,Native,921,10.32,12,0.68,0.39,8.31,195.69,,29.55,6.38,0.0,0.01,1.0,Arial,20,0.013029315960912053,,0.0,0
Lab_Report,Undergraduate,Native,980,16.69,8,0.54,0.11,12.6,179.13,34.0,55.75,0.54,2.0,0.05,2.5,Arial,18,0.00816326530612245,0.03469387755102041,0.0020408163265306124,0
Essay,High_School,Native,1604,17.9,11,0.49,0.34,10.35,167.3,29.0,7.28,12.9,,0.02,2.21,Calibri,6,0.00685785536159601,0.01807980049875312,,0
Research_Paper,Undergraduate,Native,1148,13.04,8,0.62,0.14,10.51,232.0,22.0,58.89,8.33,17.0,0.04,2.36,Calibri,11,0.006968641114982578,0.01916376306620209,0.014808362369337979,0
Essay,High_School,Native,1583,10.17,7,0.53,0.07,12.17,154.85,20.0,63.43,17.54,6.0,0.07,2.38,Times New Roman,13,0.004421983575489577,0.012634238787113077,0.003790271636133923,0
Essay,Undergraduate,Non_Native,1485,23.24,9,0.4,0.26,11.68,193.93,32.0,,9.9,6.0,0.05,1.66,Calibri,9,0.006060606060606061,0.02154882154882155,0.00404040404040404,0
Literature_Review,Undergraduate,Non_Native,1308,21.98,9,0.57,0.3,5.46,118.67,31.0,60.46,0.23,30.0,0.04,1.63,Arial,7,0.006880733944954129,0.023700305810397553,0.022935779816513763,0
Research_Paper,Postgraduate,Native,1312,21.29,5,0.59,0.13,10.15,207.47,22.0,67.76,2.57,17.0,0.06,1.82,Calibri,21,0.0038109756097560975,0.01676829268292683,0.012957317073170731,0
Essay,Undergraduate,Native,830,18.13,5,0.74,0.39,11.24,150.66,26.0,72.73,5.67,4.0,0.04,2.25,Calibri,14,0.006024096385542169,0.03132530120481928,0.004819277108433735,0
Research_Paper,Undergraduate,Native,1639,20.13,1,0.76,0.36,15.0,7.68,1.0,1200.0,8.5,5.0,0.09,2.48,Times New Roman,20,0.0006101281269066504,0.0006101281269066504,0.003050640634533252,1
Lab_Report,Undergraduate,Non_Native,2034,11.6,4,0.6,0.22,10.97,142.94,22.0,37.2,6.06,2.0,0.06,1.84,Calibri,5,0.0019665683382497543,0.010816125860373648,0.0009832841691248771,0
Essay,Undergraduate,Native,1336,15.01,5,0.74,0.21,7.35,215.4,31.0,65.2,3.82,2.0,0.07,2.31,Helvetica,18,0.0037425149700598802,0.023203592814371257,0.0014970059880239522,0
Essay,Undergraduate,Non_Native,1299,25.43,1,0.8,0.35,14.61,,4.0,0.0,8.05,3.0,0.07,2.85,Calibri,17,0.0007698229407236335,0.003079291762894534,0.0023094688221709007,1
Essay,Undergraduate,Native,905,13.24,3,0.77,0.32,13.76,242.91,,17.64,3.85,5.0,0.03,2.61,Calibri,10,0.0033149171270718232,,0.0055248618784530384,0
Research_Paper,High_School,Native,491,16.42,9,0.51,0.21,8.46,205.49,27.0,38.54,7.04,14.0,0.04,2.89,Arial,22,0.018329938900203666,0.054989816700611,0.028513238289205704,0
Lab_Report,Postgraduate,Native,1718,18.71,4,0.5,0.19,13.63,,29.0,29.62,17.63,,0.07,1.18,Times New Roman,1,0.002328288707799767,0.016880093131548313,,0
Essay,Undergraduate,Non_Native,940,23.48,13,0.52,0.07,10.76,243.23,25.0,41.14,14.3,5.0,0.06,2.41,Helvetica,10,0.013829787234042552,0.026595744680851064,0.005319148936170213,0
Research_Paper,High_School,Native,1762,20.18,8,0.4,0.06,11.45,1.0,25.0,48.44,1.08,19.0,0.06,1.47,Helvetica,6,0.004540295119182747,0.014188422247446084,0.010783200908059024,0
Research_Paper,Undergraduate,Native,1422,14.14,14,0.6,0.25,10.51,160.27,21.0,39.21,6.57,19.0,0.07,2.72,Calibri,23,0.009845288326300985,0.014767932489451477,0.013361462728551337,0
Essay,High_School,Native,1115,21.74,0,0.72,0.23,12.4,,1.0,,5.67,3.0,0.07,2.48,Arial,15,0.0,0.0008968609865470852,0.0026905829596412557,1
Research_Paper,Postgraduate,Native,1751,22.11,9,0.52,0.19,11.46,200.23,27.0,59.8,23.52,18.0,0.02,1.95,Calibri,4,0.005139920045688178,0.015419760137064534,0.010279840091376356,0
Essay,High_School,Native,623,10.74,7,0.61,0.3,11.86,122.17,25.0,54.56,2.79,0.0,0.03,2.61,Arial,0,0.011235955056179775,0.04012841091492777,0.0,0
Essay,High_School,Native,684,16.1,9,0.6,0.3,11.67,92.71,26.0,,30.07,0.0,0.05,1.86,Arial,20,0.013157894736842105,0.038011695906432746,0.0,0
Research_Paper,Undergraduate,Native,908,18.18,8,0.41,0.08,9.47,193.54,27.0,41.98,1.76,20.0,0.06,1.88,Times New Roman,10,0.00881057268722467,0.02973568281938326,0.022026431718061675,0
Essay,Undergraduate,Native,1039,13.25,6,0.43,0.17,13.65,107.5,27.0,38.54,1.06,1.0,0.02,2.52,Helvetica,3,0.005774783445620789,0.02598652550529355,0.0009624639076034649,0
Essay,Undergraduate,Native,1695,11.87,11,0.62,0.27,10.33,131.84,,,6.6,3.0,0.06,2.22,Arial,22,0.006489675516224189,,0.0017699115044247787,0
Research_Paper,Postgraduate,Native,885,21.55,0,0.73,0.35,13.44,1.0,1.0,,2.27,7.0,0.08,2.59,Calibri,17,0.0,0.0011299435028248588,0.007909604519774011,1
Essay,Undergraduate,Native,1280,20.71,11,0.65,0.24,13.43,128.39,24.0,38.94,3.41,6.0,0.07,1.0,Arial,8,0.00859375,0.01875,0.0046875,0
Essay,Undergraduate,Native,744,12.05,5,0.55,0.14,15.74,145.52,29.0,52.13,2.91,7.0,0.02,1.47,Arial,19,0.006720430107526882,0.038978494623655914,0.009408602150537635,0
Lab_Report,High_School,Native,649,22.3,2,0.76,0.3,14.95,5.39,,,1.13,0.0,0.07,2.3,Arial,16,0.0030816640986132513,,0.0,1
Research_Paper,Undergraduate,Non_Native,958,22.47,7,0.67,0.1,7.69,177.0,15.0,,7.2,21.0,0.09,1.0,Helvetica,0,0.007306889352818371,0.015657620041753653,0.021920668058455117,0
Research_Paper,Undergraduate,Native,1052,10.48,12,0.63,0.11,8.34,165.95,32.0,45.78,12.55,20.0,0.05,2.36,Helvetica,22,0.011406844106463879,0.030418250950570342,0.019011406844106463,0
Research_Paper,Postgraduate,Non_Native,1855,18.49,10,0.63,0.21,11.03,170.07,20.0,64.72,3.51,22.0,0.07,1.87,Times New Roman,19,0.005390835579514825,0.01078167115902965,0.011859838274932614,0
Lab_Report,Undergraduate,Non_Native,1525,16.2,5,0.73,0.13,10.71,215.55,27.0,16.12,0.6,2.0,0.04,2.78,Arial,0,0.003278688524590164,0.017704918032786884,0.0013114754098360656,0
Essay,High_School,Non_Native,746,22.83,0,0.75,0.37,13.77,2.49,1.0,1200.0,5.95,,0.07,2.4,Helvetica,4,0.0,0.0013404825737265416,,1
Essay,High_School,Native,1443,27.12,4,0.56,0.22,9.42,225.37,19.0,34.93,12.4,2.0,0.05,1.78,Arial,3,0.002772002772002772,0.013167013167013167,0.001386001386001386,0
Lab_Report,Postgraduate,Native,1670,10.84,8,0.67,0.26,9.61,174.71,19.0,44.37,1.0,3.0,0.05,2.52,Helvetica,3,0.004790419161676647,0.011377245508982036,0.0017964071856287425,0
Research_Paper,High_School,Non_Native,1588,17.14,7,0.63,0.1,11.99,214.1,25.0,50.81,0.66,18.0,0.04,1.58,Times New Roman,9,0.004408060453400504,0.015743073047858942,0.011335012594458438,0
Essay,Undergraduate,Native,1523,14.58,9,0.59,0.1,7.74,96.72,,32.48,0.93,5.0,0.08,2.23,Times New Roman,6,0.005909389363099146,,0.003282994090610637,0
Research_Paper,Postgraduate,Native,1474,18.73,7,0.56,0.2,14.57,127.15,20.0,35.18,2.66,17.0,0.07,1.17,Calibri,16,0.0047489823609226595,0.013568521031207599,0.011533242876526458,0
Research_Paper,Undergraduate,Native,903,21.45,0,0.7,0.34,14.38,40.36,3.0,,9.84,6.0,0.09,2.08,Calibri,9,0.0,0.0033222591362126247,0.006644518272425249,1
Essay,Undergraduate,Native,1565,16.92,11,0.7,0.18,13.82,151.88,28.0,38.59,1.68,6.0,0.07,1.89,Calibri,22,0.007028753993610224,0.017891373801916934,0.0038338658146964857,0
Research_Paper,Undergraduate,Native,1669,20.56,7,0.55,0.25,11.28,76.25,32.0,39.59,8.94,17.0,0.06,1.22,Helvetica,1,0.004194128220491312,0.019173157579388856,0.01018573996405033,0
Research_Paper,Undergraduate,Native,1723,5.0,5,0.58,0.23,9.0,167.9,19.0,49.36,0.75,20.0,0.05,1.2,Helvetica,18,0.002901915264074289,0.011027278003482298,0.011607661056297156,0
Essay,Postgraduate,Native,1474,21.34,0,0.77,0.32,14.07,13.74,3.0,0.0,4.34,0.0,0.09,2.39,Arial,10,0.0,0.0020352781546811396,0.0,1
Essay,Postgraduate,Non_Native,1482,22.16,3,0.73,0.41,14.47,1.71,1.0,1200.0,2.82,1.0,0.08,2.98,Calibri,3,0.0020242914979757085,0.0006747638326585695,0.0006747638326585695,1
Research_Paper,Undergraduate,Native,1412,19.38,1,0.75,0.36,14.62,77.52,2.0,1200.0,2.79,5.0,0.08,2.38,Arial,15,0.000708215297450425,0.00141643059490085,0.0035410764872521247,1
Essay,Postgraduate,Native,1772,14.35,8,0.65,0.14,10.64,74.96,32.0,33.55,,4.0,0.05,2.16,Helvetica,16,0.004514672686230248,0.01805869074492099,0.002257336343115124,0
Essay,High_School,Native,1772,21.6,1,0.82,0.31,14.95,3.12,1.0,0.0,7.17,1.0,0.07,2.45,Times New Roman,6,0.000564334085778781,0.000564334085778781,0.000564334085778781,1
Essay,High_School,Native,642,18.03,11,0.6,0.19,13.29,110.12,33.0,80.42,1.22,2.0,0.07,1.54,Helvetica,17,0.017133956386292833,0.0514018691588785,0.003115264797507788,0
Research_Paper,Undergraduate,Native,1397,21.94,8,0.71,0.28,10.01,137.22,30.0,28.39,1.55,17.0,0.05,2.95,Times New Roman,16,0.00572655690765927,0.021474588403722263,0.012168933428775949,0
Research_Paper,Undergraduate,Native,1654,16.16,9,0.81,0.21,12.23,,22.0,17.91,0.99,18.0,0.04,2.61,Helvetica,23,0.005441354292623942,0.013301088270858524,0.010882708585247884,0
Essay,Postgraduate,Native,942,19.4,12,0.7,0.22,8.13,70.72,27.0,6.47,19.75,6.0,0.03,1.8,Calibri,11,0.012738853503184714,0.028662420382165606,0.006369426751592357,0
Essay,Undergraduate,Non_Native,557,7.58,7,0.79,0.24,10.94,160.3,28.0,29.46,8.68,2.0,0.06,2.39,Times New Roman,8,0.012567324955116697,0.05026929982046679,0.003590664272890485,0
Essay,Postgraduate,Native,1492,22.78,10,0.48,0.14,12.65,120.86,25.0,49.75,8.51,6.0,0.06,2.33,Times New Roman,5,0.006702412868632708,0.01675603217158177,0.004021447721179625,0
Essay,Undergraduate,Native,1463,25.54,5,0.65,0.23,14.61,26.84,24.0,43.48,1.8,6.0,0.04,1.33,Times New Roman,12,0.003417634996582365,0.016404647983595352,0.004101161995898838,0
Research_Paper,Postgraduate,Native,809,5.19,12,0.54,0.12,9.1,305.89,24.0,29.94,10.91,20.0,0.05,2.76,Calibri,15,0.014833127317676144,0.029666254635352288,0.024721878862793572,0
